UNIQID,X1.1,X1.2,X1.3,X1.4
Hs.9305,2.667389535,1.98516763,2.829968141,1.385584648
Hs.181307,-0.942951315,-0.500171526,-0.705453196,-1.029722281
Hs.83484,-3.181358856,-3.276305367,-3.156056907,-2.7373271
Hs.93913,0.518232262,2.032304607,0.170844319,0.366706385
Hs.17466,-0.607902425,0.129379546,-0.235985504,0.073228291
AF042089,0.013749568,0.228156416,-0.1025213,-0.160058416
Hs.40154,-1.897636468,-1.620378036,-1.732859898,-1.982770593
Hs.241392,-0.09910903,0.015987057,-0.124195844,0.243782645
U07802,0.262255556,0.168104515,0.530795209,0.387496314
Hs.3187,-0.535918565,-0.414044876,-0.355952331,-0.577716543