Width,Height,Time(s),Distance,Linkage,Axes,Elements
499,500,0.685644761,e,a,b,249500
499,1000,1.530805944,e,a,b,499000
999,500,2.56204693,e,a,b,499500
499,1500,9.596791178,e,a,b,748500
1499,500,9.461746574,e,a,b,749500
499,2000,15.71872012,e,a,b,998000
999,1000,6.454963245,e,a,b,999000
1999,500,12.11297385,e,a,b,999500
499,2500,22.71808839,e,a,b,1247500
2499,500,23.14946955,e,a,b,1249500
499,3000,24.92314337,e,a,b,1497000
999,1500,24.72600067,e,a,b,1498500
1499,1000,22.95635972,e,a,b,1499000
2999,500,31.05025665,e,a,b,1499500
499,3500,38.93921614,e,a,b,1746500
999,2000,45.83679001,e,a,b,1998000
1999,1000,61.94723125,e,a,b,1999000
1499,1500,27.15102313,e,a,b,2248500
999,2500,73.87860731,e,a,b,2497500
999,3000,92.8025146,e,a,b,2997000
1999,1500,82.7944078,e,a,b,2998500